Start Time (UTC),End Time (UTC),Start Energy (keV),End Energy (keV),Instrument,Notes,Duration (seconds),Energy Change (keV)
2015-04-21 11:25:00,2015-04-21 12:50:00,80,20, SEP, followed by SWEA descending tone; no EUV coverage,5100.0,60
2015-04-21 12:55:00,2015-04-21 14:35:00,5,2, SWEA,,6000.0,3
2016-01-06 14:50:00,2016-01-06 16:24:00,150,20, SEP,SEP rapid rise in intensity at 15:10 and decline at 16:24; coincides with C3.2 flare seen by EUV (peak 15:34 UTC),5640.0,130
2018-05-05 14:15:00,2018-05-05 14:52:00,40,20, SEP, no flare seen in EUV,2220.0,20
2021-09-21 10:50:00,2021-09-21 12:05:00,80,20, SEP,,4500.0,60
2021-10-28 16:55:00,2021-10-28 18:37:00,100,20, SEP, leads into a hefty SEP electron event so maybe flare-caused but poor coverage on EUV,6120.0,80
2022-02-15 22:55:00,2022-02-16 01:00:00,100,20, SEP, leads into a SEP event so maybe flare but poor EUV coverage,7500.0,80
2022-05-08 05:25:00,2022-05-08 06:30:00,80,20, SEP,,3900.0,60
2022-05-17 22:15:00,2022-05-18 00:30:00,60,20, SEP,,8100.0,40
2022-06-07 04:15:00,2022-06-07 05:20:00,80,20, SEP, very unambiguous,3900.0,60
2022-06-14 01:10:00,2022-06-14 03:30:00,110,20, SEP, suspect flare-related,8400.0,90
2022-06-29 20:45:00,2022-06-29 21:30:00,80,20, SEP,only seen in 2F,2700.0,60
2022-06-30 05:30:00,2022-06-30 08:30:00,100,20, SEP, on top of minor SEP event,10800.0,80
2022-07-01 16:25:00,2022-07-01 17:00:00,80,20, SEP, low intensity and on top of minor SEP event,2100.0,60
2022-07-22 17:55:00,2022-07-22 21:05:00,80,20, SEP, very clear signature,11400.0,60
2022-07-27 02:05:00,2022-07-27 02:55:00,130,20, SEP, very dim,3000.0,110
2022-07-27 04:05:00,2022-07-27 04:35:00,60,20, SEP, overlapping with another,1800.0,40
2022-07-27 04:22:00,2022-07-27 05:01:00,60,20, SEP, overlapping with another,2340.0,40
2022-11-17 10:20:00,2022-11-17 12:50:00,40,20, SEP,,9000.0,20
2022-11-30 18:00:00,2022-11-30 20:00:00,80,20, SEP, very dim,7200.0,60
2022-12-13 12:45:00,2022-12-13 13:20:00,100,20, SEP,dim; mostly in 2F,2100.0,80
2022-12-14 00:00:00,2022-12-14 01:10:00,60,20, SEP, dim,4200.0,40
2022-12-14 05:05:00,2022-12-14 07:30:00,100,20, SEP, sudden onset but slow fall off,8700.0,80
2022-12-14 09:05:00,2022-12-14 11:30:00,60,20, SEP, sudden onset but slow fall off,8700.0,40
2022-12-14 13:30:00,2022-12-14 15:00:00,100,20, SEP,,5400.0,80
2022-12-25 09:10:00,2022-12-25 10:05:00,80,20, SEP,,3300.0,60
2022-12-27 18:13:00,2022-12-27 19:05:00,80,20, SEP, intense signature; end of DSW event,3120.0,60
2023-01-24 11:19:00,2023-01-24 12:00:00,50,20, SEP, overlapping,2460.0,30
2023-01-24 11:49:00,2023-01-24 12:20:00,70,20, SEP, overlapping,1860.0,50
2023-01-25 10:30:00,2023-01-25 11:40:00,80,20, SEP,,4200.0,60
2023-02-24 20:50:00,2023-02-24 23:30:00,150,20, SEP, looks flare-like to me but no priorincrease in T counts or EUV observed flare,9600.0,130
2023-03-02 18:20:00,2023-03-02 19:30:00,50,20, SEP,"anisotropic (primarily in 1R and 2F, much less in 1F and 2R)",4200.0,30
2023-04-28 06:30:00,2023-04-28 07:11:00,50,20, SEP, weak and may be a misdetect,2460.0,30
2023-07-11 12:05:00,2023-07-11 13:20:00,70,20, SEP,"mostly in 1R, 2R, and 2F (little in 1F)",4500.0,50
2023-07-15 08:45:00,2023-07-15 10:00:00,80,20, SEP,mostly in 2F; trailing an M1.8 flare seen in EUV,4500.0,60
2023-09-19 20:30:00,2023-09-19 22:00:00,200,20, SEP, look flare related since abnormally high energy,5400.0,180
2023-09-19 23:00:00,2023-09-20 02:00:00,100,20, SEP,,10800.0,80
2024-01-10 21:30:00,2024-01-10 23:30:00,50,20, SEP,,7200.0,30
2024-04-03 18:20:00,2024-04-03 19:45:00,50,20, SEP, starts while s/c in periapse so hard to identify beginning,5100.0,30
2024-05-01 18:35:00,2024-05-01 19:40:00,50,20, SEP, dim,3900.0,30
2024-05-01 22:10:00,2024-05-01 23:04:00,80,23, SEP,primarily in 1R and 2F with little in the other two,3240.0,57
2024-06-01 00:50:00,2024-06-01 02:35:00,90,20, SEP, isotropic,6300.0,70
2024-06-05 02:25:00,2024-06-05 03:10:00,60,20, SEP,weak in 1F but present in rest,2700.0,40
2024-07-10 21:50:00,2024-07-10 23:30:00,100,26, SEP,,6000.0,74
2024-07-29 01:20:00,2024-07-29 02:00:00,50,20, SEP,,2400.0,30
2024-07-29 10:20:00,2024-07-29 12:40:00,100,20, SEP,strongest in 2F,8400.0,80
2024-08-05 14:05:00,2024-08-05 15:15:00,150,20, SEP,mostly isotropic although less strong in 1F initially and strognest in 2R at end; trailing a M4.8 flare,4200.0,130
2024-08-07 14:45:00,2024-08-07 15:45:00,50,20, SEP,mostly isotropic although less strong in 1F,3600.0,30
2024-08-30 07:15:00,2024-08-30 07:50:00,50,20, SEP, dim,2100.0,30
2024-09-03 08:35:00,2024-09-03 10:10:00,150,20, SEP,~45 min after a M6.3 flare seen in EUV so may actually be flare,5700.0,130
2024-09-09 01:45:00,2024-09-09 04:20:00,90,20, SEP,simultaneous to a M1.2 flare seen by EUV,9300.0,70
2024-09-09 14:30:00,2024-09-09 16:30:00,150,20, SEP,,7200.0,130
2024-09-10 00:30:00,2024-09-10 01:10:00,90,20, SEP,only in 1F and 2R,2400.0,70
2024-09-10 20:20:00,2024-09-10 22:30:00,90,20, SEP,2F/1R,7800.0,70
2024-10-05 02:55:00,2024-10-05 03:30:00,50,20, SEP,,2100.0,30
2024-10-11 12:35:00,2024-10-11 14:00:00,120,20, SEP, during SEP event,5100.0,100
2024-10-15 19:00:00,2024-10-15 20:05:00,120,20, SEP,,3900.0,100
2024-12-15 01:30:00,2024-12-15 04:08:00,60,2, SEP + SWEA,,9480.0,58
2024-12-24 20:55:00,2024-12-24 21:33:00,60,20, SEP,also shows in SWEA; primarily in 2F,2280.0,40
2025-01-14 06:30:00,2025-01-14 08:20:00,60,2, SEP, unkn if flare,6600.0,58
2025-01-18 13:40:00,2025-01-18 14:20:00,60,20, SEP,predominantly in 1R and 2F,2400.0,40
2025-01-18 19:40:00,2025-01-18 20:15:00,60,20, SEP,predominantly in 1R and 2F,2100.0,40
