Start time,End time,High frequency (Hz),Low frequency (Hz),Notes,Frequency Change,Duration (seconds),Drift Rate (Hz/s)
2021-09-21 09:40:00,2021-09-21 10:27:00,20000000,80000,Very obvious,19920000,2820.0,7063.829787234043
2021-10-28 15:25:00,2021-10-28 19:15:00,20000000,40000,Very obvious,19960000,13800.0,1446.376811594203
2022-02-15 21:50:00,2022-02-16 03:20:00,20000000,30000,,19970000,19800.0,1008.5858585858585
2022-05-08 20:55:00,2022-05-08 21:30:00,20000000,130000,,19870000,2100.0,9461.904761904761
2022-05-17 20:30:00,2022-05-17 21:55:00,20000000,60000,,19940000,5100.0,3909.8039215686276
2022-06-29 17:35:00,2022-06-29 18:45:00,6000000,60000,,5940000,4200.0,1414.2857142857142
2022-06-30 05:00:00,2022-06-30 06:15:00,10000000,70000,,9930000,4500.0,2206.6666666666665
2022-07-01 15:47:00,2022-07-01 16:11:00,10000000,90000,,9910000,1440.0,6881.944444444444
2022-07-22 13:05:00,2022-07-22 13:15:00,7000000,300000,,6700000,600.0,11166.666666666666
2022-11-17 09:15:00,2022-11-17 09:50:00,3500000,160000,,3340000,2100.0,1590.4761904761904
2022-12-27 20:18:00,2022-12-27 21:26:00,20000000,80000,,19920000,4080.0,4882.35294117647
2023-03-02 18:50:00,2023-03-02 20:05:00,14000000,60000,,13940000,4500.0,3097.777777777778
2023-07-11 11:15:00,2023-07-11 12:25:00,20000000,60000,,19940000,4200.0,4747.619047619048
2023-07-15 07:26:00,2023-07-15 07:32:00,20000000,40000,,19960000,360.0,55444.444444444445
2023-09-19 20:00:00,2023-09-19 21:27:00,20000000,100000,Very obvious on GOES,19900000,5220.0,3812.2605363984676
2023-09-19 22:20:00,2023-09-19 22:25:00,20000000,100000,,19900000,300.0,66333.33333333333
2024-01-10 20:23:00,2024-01-10 22:40:00,15000000,58000,,14942000,8220.0,1817.7615571776155
2024-04-03 17:23:00,2024-04-03 19:27:00,20000000,100000,,19900000,7440.0,2674.7311827956987
2024-05-01 17:23:00,2024-05-01 19:34:00,20000000,90000,,19910000,7860.0,2533.078880407125
2024-05-01 20:18:00,2024-05-01 22:00:00,10000000,90000,,9910000,6120.0,1619.2810457516339
2024-07-10 21:30:00,2024-07-10 22:36:00,1500000,80000,,1420000,3960.0,358.5858585858586
2024-07-29 01:17:00,2024-07-29 02:11:00,14000000,70000,,13930000,3240.0,4299.382716049383
2024-08-05 13:40:00,2024-08-05 14:30:00,5000000,40000,,4960000,3000.0,1653.3333333333333
2024-08-07 13:44:00,2024-08-07 15:00:00,20000000,60000,,19940000,4560.0,4372.80701754386
2024-09-03 07:49:00,2024-09-03 10:00:00,4000000,80000,,3920000,7860.0,498.72773536895676
2024-09-09 00:36:00,2024-09-09 03:00:00,2000000,50000,,1950000,8640.0,225.69444444444446
2024-09-09 13:19:00,2024-09-09 13:40:00,20000000,200000,,19800000,1260.0,15714.285714285714
2024-09-09 23:27:00,2024-09-10 00:23:00,20000000,130000,,19870000,3360.0,5913.690476190476
2024-10-04 23:11:00,2024-10-05 01:05:00,20000000,100000,Graph turns green,19900000,6840.0,2909.3567251461986
