Start time,End time,High frequency (Hz),Low frequency (Hz),Notes
2016-01-06T14:20,2016-01-06T15:20,2800000,70000,
2021-09-21T09:43,2021-09-21T10:50,15000000,40000,
2021-10-28T15:30,2021-10-28T19:15,15000000,20000,
2022-02-15T21:55,2022-02-16T00:25,10000000,40000,
2022-05-08T02:00,2022-05-08T02:50,5000000,100000,
2022-05-17T20:37,2022-05-17T21:54,2300000,70000,
2022-06-13T23:24,2022-06-14T00:30,15000000,100000,
2022-06-29T17:37,2022-06-29T18:00,1000000,70000,
2022-06-30T04:43,2022-06-30T05:17,2300000,100000,
2022-06-30T05:05,2022-06-30T05:37,6700000,70000,
2022-07-01T11:37,2022-07-01T12:08,15000000,100000,
2022-07-22T13:05,2022-07-22T13:32,3500000,40000,
2022-07-27T02:25,2022-07-27T03:56,2000000,120000,
2022-07-27T03:45,2022-07-27T04:38,2000000,120000,
2022-11-17T09:16,2022-11-17T11:24,10000000,50000,
2022-11-30T17:10,2022-11-30T18:50,15000000,40000,
2022-12-13T12:14,2022-12-13T13:40,10000000,40000,
2022-12-13T23:00,2022-12-14T01:37,4000000,30000,
2022-12-14T04:08,2022-12-14T07:15,10000000,30000,
2022-12-14T08:03,2022-12-14T10:55,10000000,30000,
2022-12-25T07:00,2022-12-25T12:25,15000000,4000,Very obvious
2022-12-27T17:30,2022-12-27T21:30,7000000,20000,
2023-01-24T10:34,2023-01-24T11:00,15000000,60000,
2023-01-24T11:18,2023-01-24T11:40,4000000,100000,
2023-01-25T08:20,2023-01-25T10:30,15000000,30000,
2023-02-24T20:25,2023-02-24T20:55,15000000,40000,
2023-03-02T17:40,2023-03-02T19:55,10000000,20000,
2023-04-28T05:35,2023-04-28T06:20,15000000,40000,
2023-07-11T11:20,2023-07-11T12:26,15000000,70000,
2023-07-15T07:30,2023-07-15T13:35,15000000,8000,Very obvious
2023-09-19T20:10,2023-09-19T21:30,15000000,80000,
2023-09-19T22:30,2023-09-19T23:40,15000000,70000,
2024-01-10T19:00,2024-01-11T00:30,15000000,24000,Trigger vertical line preceding
2024-04-03T17:35,2024-04-03T19:00,5000000,60000,
2024-05-01T18:15,2024-05-01T18:38,15000000,150000,
2024-05-01T18:28,2024-05-01T19:00,15000000,130000,
2024-05-01T20:05,2024-05-01T20:40,15000000,130000,
2024-05-31T23:45,2024-06-01T02:30,2400000,40000,
2024-07-10T21:10,2024-07-11T00:30,1000000,30000,
2024-07-29T01:10,2024-07-29T02:46,15000000,70000,
2024-07-29T09:42,2024-07-29T10:36,3000000,100000,
2024-08-05T13:45,2024-08-05T21:50,10000000,26000,Very obvious
2024-08-07T13:45,2024-08-07T15:20,15000000,50000,Trigger vertical line preceding
2024-09-03T07:50,2024-09-03T12:00,6000000,30000,
2024-09-09T00:45,2024-09-09T05:35,3000000,40000,
2024-09-09T14:15,2024-09-09T16:20,600000,50000,
2024-09-10T00:10,2024-09-10T02:00,1400000,40000,
2024-10-05T02:10,2024-10-05T05:20,4000000,40000,
2024-10-11T12:00,2024-10-11T18:00,15000000,35000,
2024-10-15T18:10,2024-10-15T19:50,15000000,50000,
2024-12-15T00:30,2024-12-15T07:30,4500000,18000,
2024-12-24T20:10,2024-12-25T03:30,2000000,20000,
