Start time,End time,High frequency (Hz),Low frequency (Hz),Notes,Start time,End time,High frequency (Hz),Low frequency (Hz),Notes
2021-09-21T09:43,2021-09-21T10:50,15000000,40000,,2021-09-21T09:40,2021-09-21T10:27,20000000,80000,Very obvious
2021-10-28T15:30,2021-10-28T19:15,15000000,20000,,2021-10-28T15:25,2021-10-28T19:15,20000000,40000,Very obvious
2022-02-15T21:55,2022-02-16T00:25,10000000,40000,,2022-02-15T21:50,2022-02-16T03:20,20000000,30000,
2022-05-08T02:00,2022-05-08T02:50,5000000,100000,,2022-05-08T20:55,2022-05-08T21:30,20000000,130000,
2022-05-17T20:37,2022-05-17T21:54,2300000,70000,,2022-05-17T20:30,2022-05-17T21:55,20000000,60000,
2022-06-29T17:37,2022-06-29T18:00,1000000,70000,,2022-06-29T17:35,2022-06-29T18:45,6000000,60000,
2022-06-30T05:05,2022-06-30T05:37,6700000,70000,,2022-06-30T05:00,2022-06-30T06:15,10000000,70000,
2022-07-01T11:37,2022-07-01T12:08,15000000,100000,,2022-07-01T15:47,2022-07-01T16:11,10000000,90000,
2022-07-22T13:05,2022-07-22T13:32,3500000,40000,,2022-07-22T13:05,2022-07-22T13:15,7000000,300000,
2022-11-17T09:16,2022-11-17T11:24,10000000,50000,,2022-11-17T09:15,2022-11-17T09:50,3500000,160000,
2022-12-27T17:30,2022-12-27T21:30,7000000,20000,,2022-12-27T20:18,2022-12-27T21:26,20000000,80000,
2023-03-02T17:40,2023-03-02T19:55,10000000,20000,,2023-3-2T18:50,2023-3-2T20:05,14000000,60000,
2023-07-11T11:20,2023-07-11T12:26,15000000,70000,,2023-7-11T11:15,2023-7-11T12:25,20000000,60000,
2023-07-15T07:30,2023-07-15T13:35,15000000,8000,Very obvious,2023-7-15T07:26,2023-7-15T07:32,20000000,40000,
2023-09-19T20:10,2023-09-19T21:30,15000000,80000,,2023-9-19T20:00,2023-9-19T21:27,20000000,100000,Very obvious on GOES
2023-09-19T22:30,2023-09-19T23:40,15000000,70000,,2023-9-19T22:20,2023-9-19T22:25,20000000,100000,
2024-01-10T19:00,2024-01-11T00:30,15000000,24000,Trigger vertical line preceding,2024-01-10T20:23,2024-01-10T22:40,15000000,58000,
2024-04-03T17:35,2024-04-03T19:00,5000000,60000,,2024-04-03T17:23,2024-04-03T19:27,20000000,100000,
2024-05-01T18:15,2024-05-01T18:38,15000000,150000,,2024-05-01T17:23,2024-05-01T19:34,20000000,90000,
2024-05-01T20:05,2024-05-01T20:40,15000000,130000,,2024-05-01T20:18,2024-05-01T22:00,10000000,90000,
2024-07-10T21:10,2024-07-11T00:30,1000000,30000,,2024-07-10T21:30,2024-07-10T22:36,1500000,80000,
2024-07-29T01:10,2024-07-29T02:46,15000000,70000,,2024-07-29T01:17,2024-07-29T02:11,14000000,70000,
2024-08-05T13:45,2024-08-05T21:50,10000000,26000,Very obvious,2024-08-05T13:40,2024-08-05T14:30,5000000,40000,
2024-08-07T13:45,2024-08-07T15:20,15000000,50000,Trigger vertical line preceding,2024-08-07T13:44,2024-08-07T15:00,20000000,60000,
2024-09-03T07:50,2024-09-03T12:00,6000000,30000,,2024-09-03T07:49,2024-09-03T10:00,4000000,80000,
2024-09-09T00:45,2024-09-09T05:35,3000000,40000,,2024-09-09T00:36,2024-09-09T03:00,2000000,50000,
2024-09-09T14:15,2024-09-09T16:20,600000,50000,,2024-09-09T13:19,2024-09-09T13:40,20000000,200000,
2024-09-10T00:10,2024-09-10T02:00,1400000,40000,,2024-09-09T23:27,2024-09-10T00:23,20000000,130000,
2024-10-05T02:10,2024-10-05T05:20,4000000,40000,,2024-10-04T23:11,2024-10-05T01:05,20000000,100000,Graph turns green
